arch,circuit,script_params,vpr_status,total_runtime,Total_used_logic_block_area,Total_routing_block_area,Min_chan_width,Critical_path_delay,Number_of_CLB_blocks,Number_of_DSP_blocks,Number_of_BRAM_blocks,Unnamed: 12,Total_logic_block_area,Total_used_area,geo_ave_area_arch,geo_ave_delay_arch,area_delay2_model_arch
stratix.xml_2.xml,or1200.v,common,exited with return code 1,89.47,-1.0,-1.0,140,-1.0,193,4,4,,13347560.0,13347559.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,bgm.v,common,exited with return code 1,1029.31,-1.0,-1.0,154,-1.0,1943,11,0,,118164295.0,118164294.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,stereovision1.v,common,exited with return code 1,443.01,-1.0,-1.0,132,-1.0,495,40,0,,41637300.0,41637299.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,mkPktMerge.v,common,success,25.21,4057470.0,2769380.0,46,3.38182,27,0,24,,5846940.0,8616320.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,blob_merge.v,common,exited with return code 1,66.43,-1.0,-1.0,124,-1.0,427,0,0,,25218620.0,25218619.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,stereovision2.v,common,exited with return code 1,1606.89,-1.0,-1.0,134,-1.0,1207,199,0,,132988355.0,132988354.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,diffeq1.v,common,success,40.42,3770880.0,4533120.0,82,18.8014,26,12,0,,5256340.0,9789460.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,stereovision3.v,common,success,1.46,362765.0,106988.0,30,2.61698,13,0,0,,767780.0,874768.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,ch_intrinsics.v,common,success,2.24,1923590.0,421340.0,46,1.78538,64,0,1,,3957020.0,4378360.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,stereovision0.v,common,success,99.63,16045400.0,6715470.0,108,4.53004,575,0,0,,33959500.0,40674970.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,spree.v,common,exited with return code 1,12.68,-1.0,-1.0,104,-1.0,46,1,6,,4089905.0,4089904.0,16033106.763867266,0.0,0.0
stratix.xml_2.xml,arm_core.v,common,exited with return code 1,348.25,-1.0,-1.0,206,-1.0,622,0,41,,43999700.0,43999699.0,16033106.763867266,0.0,0.0
